date,close,volume
2015-01-02,86.67,2090232
2015-01-05,86.86,3446236
2015-01-06,87.08,3688100
2015-01-07,87.07,3984400
2015-01-08,86.93,2212200
2015-01-09,87.14,1322600
2015-01-12,87.21,2185700
2015-01-13,87.24,5537000
2015-01-14,87.45,3043605
2015-01-15,87.85,2084009
2015-01-16,87.51,2744525
2015-01-20,87.66,2059400
2015-01-21,87.51,2020200
2015-01-22,87.46,2030434
2015-01-23,87.68,1535012
2015-01-26,87.64,2705234
2015-01-27,87.59,1635906
2015-01-28,87.96,1327800
2015-01-29,87.89,1752600
2015-01-30,88.2,6252828
2015-02-02,88.06,2792120
2015-02-03,87.72,1815400
2015-02-04,87.86,1953033
2015-02-05,87.68,2409600
2015-02-06,87.17,2531315
2015-02-09,87.15,1724911
2015-02-10,87.06,1272543
2015-02-11,87.02,1803433
2015-02-12,87.03,2123746
2015-02-13,86.93,1706200
2015-02-17,86.58,2043026
2015-02-18,86.82,1442441
2015-02-19,86.75,1443000
2015-02-20,86.77,2280736
2015-02-23,86.92,1688234
2015-02-24,87.31,1736745
2015-02-25,87.37,2319300
2015-02-26,87.06,1837300
2015-02-27,87.28,3816414
2015-03-02,86.69,7881900
2015-03-03,86.58,4228400
2015-03-04,86.63,1477100
2015-03-05,86.67,1053013
2015-03-06,86.1,1872900
2015-03-09,86.32,2724700
2015-03-10,86.52,1708143
2015-03-11,86.7,1171619
2015-03-12,86.77,1416645
2015-03-13,86.6,3235526
2015-03-16,86.79,1305800
2015-03-17,86.78,1423700
2015-03-18,87.41,1997848
2015-03-19,87.1,1929700
2015-03-20,87.37,3833605
2015-03-23,87.39,1120900
2015-03-24,87.62,2647340
2015-03-25,87.46,1612307
2015-03-26,87.14,1377600
2015-03-27,87.27,5610233
2015-03-30,87.31,1310728
2015-03-31,87.46,2958100
2015-04-01,87.58,1927330
2015-04-02,87.46,1761723
2015-04-06,87.51,1431000
2015-04-07,87.53,1415200
2015-04-08,87.54,903019
2015-04-09,87.32,1728500
2015-04-10,87.32,2055617
2015-04-13,87.41,951000
2015-04-14,87.51,1157400
2015-04-15,87.62,1296832
2015-04-16,87.58,1000803
2015-04-17,87.65,1274300
2015-04-20,87.58,1289415
2015-04-21,87.49,1522700
2015-04-22,87.23,916429
2015-04-23,87.36,1483934
2015-04-24,87.51,837747
2015-04-27,87.54,1595600
2015-04-28,87.21,1602004
2015-04-29,87.01,1313249
2015-04-30,87.01,3328600
2015-05-01,86.6,1357200
2015-05-04,86.44,1651932
2015-05-05,86.36,1481227
2015-05-06,86.07,1566004
2015-05-07,86.28,1986235
2015-05-08,86.56,1933601
2015-05-11,86.01,2984900
2015-05-12,86.01,1394900
2015-05-13,86.0,2441612
2015-05-14,86.13,1796941
2015-05-15,86.49,1047500
2015-05-18,86.16,863900
2015-05-19,85.86,1664400
2015-05-20,86.0,1584131
2015-05-21,86.27,2652600
2015-05-22,86.17,1087000
2015-05-26,86.38,2775000
2015-05-27,86.47,888700
2015-05-28,86.44,1298906
2015-05-29,86.47,2780300
2015-06-01,86.07,4327305
2015-06-02,85.73,1830416
2015-06-03,85.39,3413107
2015-06-04,85.57,1907900
2015-06-05,85.2,1619045
2015-06-08,85.32,1289705
2015-06-09,85.08,1206700
2015-06-10,84.87,1491244
2015-06-11,85.32,1539634
2015-06-12,85.22,1365918
2015-06-15,85.32,1666600
2015-06-16,85.46,1309900
2015-06-17,85.47,1895700
2015-06-18,85.45,2917418
2015-06-19,85.72,2048500
2015-06-22,85.29,1173800
2015-06-23,85.1,1339035
2015-06-24,85.23,1527811
2015-06-25,85.13,1222025
2015-06-26,84.93,1054938
2015-06-29,85.43,3278938
2015-06-30,85.38,2159500
2015-07-01,84.99,6010318
2015-07-02,85.11,994614
2015-07-06,85.42,1108000
2015-07-07,85.54,2502500
2015-07-08,85.74,2892900
2015-07-09,85.43,1932808
2015-07-10,85.06,2163700
2015-07-13,84.94,1938311
2015-07-14,85.08,1441422
2015-07-15,85.31,1781400
2015-07-16,85.38,1294800
2015-07-17,85.39,897639
2015-07-20,85.24,1245100
2015-07-21,85.38,1191503
2015-07-22,85.42,1100000
2015-07-23,85.66,1021400
2015-07-24,85.65,1192500
2015-07-27,85.75,2666000
2015-07-28,85.67,1873240
2015-07-29,85.6,2273525
2015-07-30,85.61,1959020
2015-07-31,85.94,2084323
2015-08-03,85.86,2563943
2015-08-04,85.61,1659909
2015-08-05,85.46,2346600
2015-08-06,85.56,1038142
2015-08-07,85.71,2154749
2015-08-10,85.6,1280227
2015-08-11,85.88,1537300
2015-08-12,85.83,1563900
2015-08-13,85.65,1571743
2015-08-14,85.61,1890500
2015-08-17,85.75,1387100
2015-08-18,85.6,785400
2015-08-19,85.86,2184900
2015-08-20,86.0,1075630
2015-08-21,86.15,2443414
2015-08-24,86.12,5440205
2015-08-25,85.91,4070000
2015-08-26,85.51,3994218
2015-08-27,85.63,4040532
2015-08-28,85.55,4774631
2015-08-31,85.49,4145627
2015-09-01,85.57,3386037
2015-09-02,85.46,3442041
2015-09-03,85.58,1935134
2015-09-04,85.76,1748100
2015-09-08,85.56,2130400
2015-09-09,85.59,2891414
2015-09-10,85.5,2564400
2015-09-11,85.6,2001634
2015-09-14,85.62,1543600
2015-09-15,85.24,1541200
2015-09-16,85.17,1810100
2015-09-17,85.7,1955400
2015-09-18,85.77,4510600
2015-09-21,85.54,2325812
2015-09-22,85.75,2044824
2015-09-23,85.68,1562100
2015-09-24,85.79,2700000
2015-09-25,85.64,1225500
2015-09-28,85.84,1884400
2015-09-29,85.97,1506800
2015-09-30,86.01,3121600
2015-10-01,85.91,4274924
2015-10-02,86.17,3553300
2015-10-05,85.85,4604506
2015-10-06,86.06,5013800
2015-10-07,86.0,1983212
2015-10-08,85.88,2038700
2015-10-09,85.81,3235549
2015-10-12,86.03,1268800
2015-10-13,86.04,1500200
2015-10-14,86.36,3912000
2015-10-15,86.24,2044846
2015-10-16,86.16,1630000
2015-10-19,86.24,1534900
2015-10-20,86.07,1805400
2015-10-21,86.27,1278248
2015-10-22,86.29,2276300
2015-10-23,86.14,2237400
2015-10-26,86.18,1541300
2015-10-27,86.3,2021900
2015-10-28,86.05,1661300
2015-10-29,85.68,2333240
2015-10-30,85.9,10577000
2015-11-02,85.57,8049400
2015-11-03,85.41,3033405
2015-11-04,85.41,3542543
2015-11-05,85.37,2185900
2015-11-06,84.96,1829500
2015-11-09,84.91,12843237
2015-11-10,85.06,5233200
2015-11-11,84.95,1603400
2015-11-12,85.03,3448700
2015-11-13,85.2,3784105
2015-11-16,85.27,3326000
2015-11-17,85.33,2461340
2015-11-18,85.27,1952100
2015-11-19,85.31,4232721
2015-11-20,85.25,2034414
2015-11-23,85.28,1976000
2015-11-24,85.35,1335300
2015-11-25,85.39,1169300
2015-11-27,85.37,946100
2015-11-30,85.4,2397035
2015-12-01,85.41,4260000
2015-12-02,85.31,2462800
2015-12-03,84.68,4634100
2015-12-04,84.95,2182057
2015-12-07,85.08,2143800
2015-12-08,85.11,2311800
2015-12-09,85.11,2791044
2015-12-10,85.1,2001503
2015-12-11,85.31,2321400
2015-12-14,84.91,3351900
2015-12-15,84.92,2955918
2015-12-16,84.77,2946800
2015-12-17,84.88,5407881
2015-12-18,85.06,4006425
2015-12-21,84.99,3233516
2015-12-22,84.92,4507611
2015-12-23,84.91,3599600
2015-12-24,84.77,1248819
2015-12-28,84.77,3736430
2015-12-29,84.56,3094619
2015-12-30,84.55,3731400
2015-12-31,84.77,3406140
2016-01-04,84.74,3691000
2016-01-05,84.78,2732900
2016-01-06,85.1,2916018
2016-01-07,85.1,2469015
2016-01-08,85.28,4017144
2016-01-11,85.04,2820542
2016-01-12,85.23,3318448
2016-01-13,85.43,3011500
2016-01-14,85.39,5322713
2016-01-15,85.5,3348900
2016-01-19,85.41,4209886
2016-01-20,85.48,4349924
2016-01-21,85.36,7256021
2016-01-22,85.43,3258715
2016-01-25,85.38,3285000
2016-01-26,85.49,2604142
2016-01-27,85.5,1645315
2016-01-28,85.57,2390647
2016-01-29,85.83,8633000
2016-02-01,85.54,4512330
2016-02-02,85.8,4835115
2016-02-03,85.79,3700300
2016-02-04,85.88,1880319
2016-02-05,85.8,2155563
2016-02-08,86.13,2818711
2016-02-09,86.12,3023852
2016-02-10,86.34,2319000
2016-02-11,86.39,2928013
2016-02-12,86.16,2968985
2016-02-16,85.94,2356364
2016-02-17,85.9,2446719
2016-02-18,86.16,2844572
2016-02-19,86.17,2278800
2016-02-22,86.19,2421800
2016-02-23,86.21,2337800
2016-02-24,86.24,2473501
2016-02-25,86.46,2335961
2016-02-26,86.3,2068260
2016-02-29,86.41,3694200
2016-03-01,85.97,3984505
2016-03-02,85.88,2624500
2016-03-03,85.98,3632840
2016-03-04,85.85,4461135
2016-03-07,85.83,2823244
2016-03-08,86.04,1984400
2016-03-09,86.0,1468700
2016-03-10,86.04,2828718
2016-03-11,85.88,2065008
2016-03-14,85.93,2186900
2016-03-15,85.85,1746182
2016-03-16,86.22,1888538
2016-03-17,86.4,4116539
2016-03-18,86.47,1909665
2016-03-21,86.28,2152300
2016-03-22,86.23,2023058
2016-03-23,86.41,2885056
2016-03-24,86.42,2846436
2016-03-28,86.48,2918100
2016-03-29,86.74,1886251
2016-03-30,86.71,2764517
2016-03-31,86.99,7003600
2016-04-01,86.74,5374230
2016-04-04,86.82,3176200
2016-04-05,86.94,2954123
2016-04-06,86.92,2027438
2016-04-07,87.11,1876140
2016-04-08,87.03,2318334
2016-04-11,87.09,1718424
2016-04-12,86.95,1984517
2016-04-13,86.99,1769278
2016-04-14,86.84,3596565
2016-04-15,87.08,1579648
2016-04-18,87.07,2146600
2016-04-19,87.07,2019200
2016-04-20,86.85,2376103
2016-04-21,86.74,2692800
2016-04-22,86.74,3795615
2016-04-25,86.65,3118816
2016-04-26,86.61,2326144
2016-04-27,86.87,2337117
2016-04-28,87.04,9405201
2016-04-29,87.03,5112900
2016-05-02,86.81,3553939
2016-05-03,86.97,3044940
2016-05-04,87.01,2920608
2016-05-05,87.23,3008142
2016-05-06,87.1,2718710
2016-05-09,87.15,2173500
2016-05-10,87.19,2103822
2016-05-11,87.19,2507055
2016-05-12,87.11,1938846
2016-05-13,87.28,1511400
2016-05-16,87.13,3134424
2016-05-17,87.01,1769745
2016-05-18,86.65,1900840
2016-05-19,86.7,3461900
2016-05-20,86.76,2655713
2016-05-23,86.74,2244346
2016-05-24,86.7,1759881
2016-05-25,86.71,2743128
2016-05-26,86.85,1614809
2016-05-27,86.83,2164800
2016-05-31,86.89,3368858
2016-06-01,86.67,2941672
2016-06-02,86.89,2013900
2016-06-03,87.36,2210534
2016-06-06,87.24,3278944
2016-06-07,87.32,2157143
2016-06-08,87.35,2148002
2016-06-09,87.41,1543605
2016-06-10,87.53,1368457
2016-06-13,87.6,1661400
2016-06-14,87.56,1871500
2016-06-15,87.75,1732212
2016-06-16,87.8,2533104
2016-06-17,87.74,2730900
2016-06-20,87.5,2043815
2016-06-21,87.43,1882500
2016-06-22,87.49,1734386
2016-06-23,87.34,1721410
2016-06-24,87.8,4081200
2016-06-27,88.16,3018894
2016-06-28,88.27,2951700
2016-06-29,88.21,2745817
2016-06-30,88.39,4154315
2016-07-01,88.42,5235298
2016-07-05,88.65,4740000
2016-07-06,88.82,3150500
2016-07-07,88.75,3122244
2016-07-08,88.89,2910500
2016-07-11,88.65,4424000
2016-07-12,88.38,1970760
2016-07-13,88.51,2363319
2016-07-14,88.43,3345200
2016-07-15,88.11,3612200
2016-07-18,88.16,1547300
2016-07-19,88.31,1787302
2016-07-20,88.23,1808800
2016-07-21,88.31,3043500
2016-07-22,88.32,2315900
2016-07-25,88.22,1680800
2016-07-26,88.22,3540188
2016-07-27,88.48,3047227
2016-07-28,88.47,2640793
2016-07-29,88.71,3671163
2016-08-01,88.34,3149309
2016-08-02,88.08,3643900
2016-08-03,88.17,3777808
2016-08-04,88.34,2002838
2016-08-05,88.04,2474608
2016-08-08,88.09,2604005
2016-08-09,88.32,2981125
2016-08-10,88.42,3185800
2016-08-11,88.19,1807426
2016-08-12,88.4,1889646
2016-08-15,88.24,1950534
2016-08-16,88.19,6250346
2016-08-17,88.35,5210700
2016-08-18,88.48,1963011
2016-08-19,88.28,3287636
2016-08-22,88.42,1808608
2016-08-23,88.44,2583046
2016-08-24,88.41,2312833
2016-08-25,88.31,1613504
2016-08-26,88.17,2513744
2016-08-29,88.42,2156400
2016-08-30,88.37,1712330
2016-08-31,88.35,3025000
2016-09-01,88.27,3777100
2016-09-02,88.15,1730900
2016-09-06,88.34,3745800
2016-09-07,88.38,1839600
2016-09-08,88.08,2605588
2016-09-09,87.69,2763905
2016-09-12,87.76,2358202
2016-09-13,87.52,3005400
2016-09-14,87.63,2089700
2016-09-15,87.69,2270232
2016-09-16,87.75,1701101
2016-09-19,87.68,2026930
2016-09-20,87.71,2078533
2016-09-21,87.93,1899500
2016-09-22,88.11,2017200
2016-09-23,88.09,3415707
2016-09-26,88.2,2326930
2016-09-27,88.31,2881338
2016-09-28,88.33,2853912
2016-09-29,88.33,1668048
2016-09-30,88.24,3679813
2016-10-03,87.98,9372902
2016-10-04,87.68,5022435
2016-10-05,87.56,3368700
2016-10-06,87.56,2059449
2016-10-07,87.58,1867638
2016-10-10,87.54,1295404
2016-10-11,87.4,2753300
2016-10-12,87.43,1668515
2016-10-13,87.56,1964801
2016-10-14,87.41,2471532
2016-10-17,87.56,1556800
2016-10-18,87.7,1583035
2016-10-19,87.75,1550019
2016-10-20,87.72,1420800
2016-10-21,87.77,1776977
2016-10-24,87.64,1385635
2016-10-25,87.64,2344414
2016-10-26,87.47,2684013
2016-10-27,87.25,2330700
2016-10-28,87.25,1713818
2016-10-31,87.36,3260300
