date,symbol,adjOpen,adjHigh,adjLow,BTCUSD,volume
2015-01-01,BTCUSD,322.31,322.9,313.81,314.96,0
2015-01-02,BTCUSD,314.54,316.74,313.28,315.81,0
2015-01-03,BTCUSD,315.8,315.99,277.5,278.22,0
2015-01-04,BTCUSD,278.04,288.74,255.03,264.19,0
2015-01-05,BTCUSD,264.04,280.44,263.75,274.84,0
2015-01-06,BTCUSD,274.85,291.94,272.1,288.43,0
2015-01-07,BTCUSD,288.36,303.33,284.0,297.99,0
2015-01-08,BTCUSD,297.89,298.47,282.01,283.21,0
2015-01-09,BTCUSD,283.99,297.32,280.4,290.51,0
2015-01-10,BTCUSD,290.58,292.1,275.0,276.03,0
2015-01-11,BTCUSD,276.01,282.86,265.83,267.27,0
2015-01-12,BTCUSD,267.54,274.44,266.24,268.75,0
2015-01-13,BTCUSD,268.6,269.66,219.0,228.07,0
2015-01-14,BTCUSD,228.49,228.49,166.45,182.0,0
2015-01-15,BTCUSD,181.0,230.74,179.05,209.81,0
2015-01-16,BTCUSD,209.81,223.1,197.72,208.5,0
2015-01-17,BTCUSD,208.52,214.0,192.2,201.09,0
2015-01-18,BTCUSD,201.08,222.0,194.0,211.03,0
2015-01-19,BTCUSD,210.98,219.95,207.0,216.2,0
2015-01-20,BTCUSD,216.14,219.25,203.7,212.11,0
2015-01-21,BTCUSD,212.1,230.0,211.0,228.08,0
2015-01-22,BTCUSD,228.05,242.0,225.29,234.7,0
2015-01-23,BTCUSD,234.7,236.98,225.13,233.12,0
2015-01-24,BTCUSD,233.37,249.77,229.03,248.66,0
2015-01-25,BTCUSD,248.94,259.39,245.0,254.73,0
2015-01-26,BTCUSD,254.72,315.0,254.65,276.01,0
2015-01-27,BTCUSD,276.01,280.37,250.0,265.09,0
2015-01-28,BTCUSD,265.55,269.97,226.35,234.5,0
2015-01-29,BTCUSD,234.49,239.33,220.0,233.01,0
2015-01-30,BTCUSD,233.7,243.89,224.22,226.44,0
2015-01-31,BTCUSD,226.45,234.03,213.1,215.8,0
2015-02-01,BTCUSD,215.91,233.32,211.02,226.92,0
2015-02-02,BTCUSD,226.86,247.5,222.5,238.99,0
2015-02-03,BTCUSD,238.86,248.42,222.66,227.96,0
2015-02-04,BTCUSD,227.81,233.0,220.23,227.78,0
2015-02-05,BTCUSD,227.78,228.8,210.12,216.47,0
2015-02-06,BTCUSD,216.43,225.88,215.0,222.65,0
2015-02-07,BTCUSD,222.66,239.78,222.66,228.8,0
2015-02-08,BTCUSD,228.8,232.9,221.1,223.85,0
2015-02-09,BTCUSD,224.13,225.98,215.33,220.48,0
2015-02-10,BTCUSD,220.48,223.88,214.0,220.87,0
2015-02-11,BTCUSD,220.75,224.4,218.1,219.8,0
2015-02-12,BTCUSD,219.8,223.2,217.8,222.55,0
2015-02-13,BTCUSD,222.39,242.5,221.46,236.13,0
2015-02-14,BTCUSD,235.8,261.3,235.51,257.0,0
2015-02-15,BTCUSD,257.01,268.54,228.2,235.88,0
2015-02-16,BTCUSD,235.34,243.65,228.62,233.5,0
2015-02-17,BTCUSD,233.5,246.28,231.5,244.0,0
2015-02-18,BTCUSD,243.82,244.99,231.01,236.27,0
2015-02-19,BTCUSD,236.26,243.42,234.97,240.0,0
2015-02-20,BTCUSD,240.2,248.98,238.95,244.5,0
2015-02-21,BTCUSD,244.51,247.73,243.28,245.54,0
2015-02-22,BTCUSD,245.53,247.78,232.1,236.5,0
2015-02-23,BTCUSD,236.5,241.0,232.61,239.4,0
2015-02-24,BTCUSD,239.33,240.99,236.7,239.73,0
2015-02-25,BTCUSD,239.95,240.83,235.53,237.99,0
2015-02-26,BTCUSD,237.98,238.33,233.62,236.93,0
2015-02-27,BTCUSD,236.93,262.8,236.64,255.05,0
2015-02-28,BTCUSD,255.06,257.4,251.25,255.7,0
2015-03-01,BTCUSD,255.7,266.91,245.65,262.4,0
2015-03-02,BTCUSD,262.47,279.61,258.98,277.41,0
2015-03-03,BTCUSD,277.3,294.0,267.04,283.75,0
2015-03-04,BTCUSD,283.8,285.99,267.0,273.33,0
2015-03-05,BTCUSD,272.92,284.99,262.0,277.69,0
2015-03-06,BTCUSD,277.69,279.75,268.8,273.36,0
2015-03-07,BTCUSD,273.27,280.76,270.55,276.97,0
2015-03-08,BTCUSD,276.98,278.68,271.61,275.59,0
2015-03-09,BTCUSD,275.58,295.0,275.01,291.0,0
2015-03-10,BTCUSD,291.0,303.96,289.03,292.62,0
2015-03-11,BTCUSD,292.64,298.75,291.0,296.7,0
2015-03-12,BTCUSD,296.6,298.8,291.04,295.5,0
2015-03-13,BTCUSD,295.52,295.91,282.13,283.19,0
2015-03-14,BTCUSD,283.18,287.6,281.36,282.6,0
2015-03-15,BTCUSD,282.54,287.8,281.59,286.9,0
2015-03-16,BTCUSD,286.71,295.2,286.45,291.19,0
2015-03-17,BTCUSD,292.23,292.9,281.56,285.25,0
2015-03-18,BTCUSD,285.11,285.25,248.0,257.21,0
2015-03-19,BTCUSD,257.2,269.5,246.98,261.98,0
2015-03-20,BTCUSD,261.7,267.0,259.36,262.19,0
2015-03-21,BTCUSD,262.18,263.01,255.1,260.47,0
2015-03-22,BTCUSD,260.6,270.8,259.74,268.82,0
2015-03-23,BTCUSD,268.6,271.5,262.0,267.23,0
2015-03-24,BTCUSD,267.31,268.4,241.39,246.0,0
2015-03-25,BTCUSD,246.0,250.95,235.7,246.29,0
2015-03-26,BTCUSD,246.29,255.0,244.5,249.33,0
2015-03-27,BTCUSD,249.21,250.45,245.23,246.5,0
2015-03-28,BTCUSD,246.5,255.96,246.49,252.95,0
2015-03-29,BTCUSD,252.9,253.01,238.89,242.74,0
2015-03-30,BTCUSD,242.9,250.98,236.24,247.93,0
2015-03-31,BTCUSD,247.93,248.8,242.0,244.51,0
2015-04-01,BTCUSD,244.56,248.71,239.21,246.93,0
2015-04-02,BTCUSD,247.07,254.94,243.0,253.23,0
2015-04-03,BTCUSD,253.33,256.49,250.31,254.24,0
2015-04-04,BTCUSD,254.24,255.7,250.32,253.6,0
2015-04-05,BTCUSD,253.7,261.25,251.55,260.5,0
2015-04-06,BTCUSD,260.75,262.45,253.4,255.73,0
2015-04-07,BTCUSD,255.62,257.9,253.01,253.7,0
2015-04-08,BTCUSD,253.7,254.99,242.72,244.92,0
2015-04-09,BTCUSD,244.94,246.79,236.5,243.58,0
2015-04-10,BTCUSD,243.56,243.74,230.75,236.12,0
2015-04-11,BTCUSD,236.12,240.58,233.72,236.86,0
2015-04-12,BTCUSD,236.83,238.7,232.38,236.38,0
2015-04-13,BTCUSD,236.21,237.7,220.14,224.9,0
2015-04-14,BTCUSD,224.9,225.75,216.37,220.16,0
2015-04-15,BTCUSD,220.1,224.75,219.01,223.98,0
2015-04-16,BTCUSD,223.8,230.0,223.01,228.14,0
2015-04-17,BTCUSD,228.23,228.98,219.58,222.4,0
2015-04-18,BTCUSD,222.39,224.16,219.94,223.08,0
2015-04-19,BTCUSD,223.23,227.0,222.1,222.16,0
2015-04-20,BTCUSD,222.28,227.0,221.24,224.21,0
2015-04-21,BTCUSD,224.21,236.99,224.16,236.96,0
2015-04-22,BTCUSD,236.18,238.99,232.0,234.14,0
2015-04-23,BTCUSD,233.65,237.22,233.0,236.01,0
2015-04-24,BTCUSD,235.82,236.51,228.7,231.38,0
2015-04-25,BTCUSD,231.21,232.7,225.35,226.01,0
2015-04-26,BTCUSD,226.1,226.84,213.92,219.7,0
2015-04-27,BTCUSD,219.73,232.49,218.24,227.13,0
2015-04-28,BTCUSD,226.91,228.05,222.16,225.3,0
2015-04-29,BTCUSD,225.3,227.8,222.66,225.23,0
2015-04-30,BTCUSD,225.56,240.89,224.63,236.11,0
2015-05-01,BTCUSD,236.18,239.25,231.26,231.78,0
2015-05-02,BTCUSD,231.75,235.79,231.75,234.81,0
2015-05-03,BTCUSD,234.76,243.73,233.75,240.57,0
2015-05-04,BTCUSD,240.69,243.6,236.98,238.54,0
2015-05-05,BTCUSD,238.68,239.49,231.05,235.87,0
2015-05-06,BTCUSD,235.85,236.75,226.42,229.27,0
2015-05-07,BTCUSD,229.04,239.79,227.81,237.3,0
2015-05-08,BTCUSD,237.3,249.22,236.2,244.5,0
2015-05-09,BTCUSD,244.52,249.21,240.1,242.54,0
2015-05-10,BTCUSD,242.53,245.95,238.79,240.73,0
2015-05-11,BTCUSD,240.8,245.49,238.5,242.46,0
2015-05-12,BTCUSD,242.44,244.67,240.86,241.92,0
2015-05-13,BTCUSD,242.01,245.0,234.22,235.7,0
2015-05-14,BTCUSD,235.72,238.39,232.1,236.68,0
2015-05-15,BTCUSD,236.7,239.0,233.88,237.3,0
2015-05-16,BTCUSD,237.24,237.58,234.0,235.7,0
2015-05-17,BTCUSD,235.85,238.24,235.6,236.15,0
2015-05-18,BTCUSD,236.25,237.25,229.0,232.82,0
2015-05-19,BTCUSD,232.83,236.76,231.19,231.7,0
2015-05-20,BTCUSD,231.56,235.24,231.56,234.24,0
2015-05-21,BTCUSD,234.26,236.5,233.9,235.27,0
2015-05-22,BTCUSD,235.25,241.83,234.59,240.97,0
2015-05-23,BTCUSD,240.97,241.2,237.54,238.81,0
2015-05-24,BTCUSD,238.86,242.98,238.52,240.96,0
2015-05-25,BTCUSD,240.92,241.12,236.1,237.1,0
2015-05-26,BTCUSD,237.1,238.5,235.26,237.36,0
2015-05-27,BTCUSD,237.37,239.3,235.0,236.85,0
2015-05-28,BTCUSD,236.48,237.5,235.85,236.86,0
2015-05-29,BTCUSD,236.83,237.16,235.02,236.52,0
2015-05-30,BTCUSD,236.72,236.73,228.2,232.54,0
2015-05-31,BTCUSD,232.35,232.69,227.0,228.7,0
2015-06-01,BTCUSD,228.38,230.89,219.71,222.0,0
2015-06-02,BTCUSD,222.01,226.0,220.97,224.68,0
2015-06-03,BTCUSD,224.7,227.0,222.26,225.11,0
2015-06-04,BTCUSD,225.14,225.77,222.64,223.24,0
2015-06-05,BTCUSD,223.24,229.23,222.65,224.51,0
2015-06-06,BTCUSD,224.7,228.0,223.9,225.66,0
2015-06-07,BTCUSD,225.69,227.0,222.29,223.26,0
2015-06-08,BTCUSD,223.29,230.63,223.25,228.76,0
2015-06-09,BTCUSD,228.79,232.07,227.79,229.06,0
2015-06-10,BTCUSD,229.06,229.97,227.48,228.6,0
2015-06-11,BTCUSD,228.61,230.7,228.6,230.0,0
2015-06-12,BTCUSD,229.99,231.34,229.11,229.55,0
2015-06-13,BTCUSD,229.51,234.3,228.4,232.87,0
2015-06-14,BTCUSD,232.86,235.44,232.51,233.54,0
2015-06-15,BTCUSD,233.5,238.16,233.35,236.98,0
2015-06-16,BTCUSD,236.97,254.0,236.0,252.17,0
2015-06-17,BTCUSD,252.19,259.1,246.0,248.95,0
