date,symbol,adjOpen,adjHigh,adjLow,SPY,volume
2015-01-02,SPY,171.88,172.3,170.05,171.09,121465900
2015-01-05,SPY,170.04,170.21,167.69,168.0,169632600
2015-01-06,SPY,168.31,168.84,165.62,166.42,209151400
2015-01-07,SPY,167.76,168.84,167.31,168.5,125346700
2015-01-08,SPY,169.92,171.71,169.9,171.49,147217800
2015-01-09,SPY,171.9,171.92,169.49,170.11,158567300
2015-01-12,SPY,170.25,170.4,168.17,168.78,144396100
2015-01-13,SPY,170.0,171.13,166.99,168.3,214553300
2015-01-14,SPY,166.28,167.49,165.38,167.29,192991100
2015-01-15,SPY,167.93,168.25,165.64,165.76,176613900
2015-01-16,SPY,165.55,168.09,165.36,167.93,211879600
2015-01-20,SPY,168.57,168.84,166.72,168.29,130991100
2015-01-21,SPY,167.82,169.62,167.36,169.14,122942700
2015-01-22,SPY,169.89,171.78,168.51,171.65,174356000
2015-01-23,SPY,171.39,171.65,170.58,170.71,117516800
2015-01-26,SPY,170.49,171.2,169.78,171.11,92009700
2015-01-27,SPY,169.04,170.0,168.02,168.85,134044600
2015-01-28,SPY,170.05,170.15,166.5,166.69,168514300
2015-01-29,SPY,166.89,168.49,165.47,168.23,173585400
2015-01-30,SPY,167.04,168.38,165.84,166.11,197729700
2015-02-02,SPY,166.61,168.26,164.79,168.17,163107000
2015-02-03,SPY,169.07,170.61,168.69,170.6,124212900
2015-02-04,SPY,169.83,171.05,169.49,169.95,134306700
2015-02-05,SPY,170.62,171.82,170.55,171.67,97953200
2015-02-06,SPY,172.03,172.6,170.67,171.19,125672000
2015-02-09,SPY,170.55,171.27,170.02,170.43,87219000
2015-02-10,SPY,171.47,172.5,170.47,172.24,96164200
2015-02-11,SPY,172.07,172.77,171.42,172.34,91087800
2015-02-12,SPY,173.14,174.06,172.38,174.0,97545900
2015-02-13,SPY,174.13,174.77,173.87,174.72,93670400
2015-02-17,SPY,174.4,175.16,174.15,174.99,76968200
2015-02-18,SPY,174.62,175.08,174.35,175.01,80652900
2015-02-19,SPY,174.41,175.25,174.26,174.88,91462500
2015-02-20,SPY,174.46,176.0,173.84,175.93,140896400
2015-02-23,SPY,175.69,175.91,175.3,175.91,74411100
2015-02-24,SPY,175.84,176.61,175.54,176.41,72472300
2015-02-25,SPY,176.28,176.77,175.92,176.26,73061700
2015-02-26,SPY,176.17,176.32,175.44,176.05,72697900
2015-02-27,SPY,175.95,176.22,175.4,175.45,108076000
2015-03-02,SPY,175.55,176.62,175.5,176.56,87491400
2015-03-03,SPY,176.12,176.6,174.96,175.83,110325800
2015-03-04,SPY,175.23,175.31,174.12,175.09,114497200
2015-03-05,SPY,175.41,175.56,174.77,175.28,76873000
2015-03-06,SPY,174.42,174.85,172.49,172.82,188128000
2015-03-09,SPY,173.01,173.89,172.86,173.53,89818900
2015-03-10,SPY,172.16,172.24,170.68,170.72,157121300
2015-03-11,SPY,170.98,171.15,170.24,170.32,110145700
2015-03-12,SPY,170.95,172.55,170.9,172.48,93993500
2015-03-13,SPY,172.21,173.18,170.39,171.43,162410900
2015-03-16,SPY,172.16,173.81,171.45,173.72,136099200
2015-03-17,SPY,172.98,173.58,172.38,173.2,94510400
2015-03-18,SPY,172.72,175.95,172.08,175.28,228808500
2015-03-19,SPY,174.86,175.29,174.09,174.48,117917300
2015-03-20,SPY,175.43,176.53,175.25,176.02,177715100
2015-03-23,SPY,176.03,176.61,175.68,175.68,71784500
2015-03-24,SPY,175.55,176.01,174.62,174.69,77805300
2015-03-25,SPY,174.9,175.13,172.09,172.13,159521700
2015-03-26,SPY,171.46,172.64,170.76,171.72,153067200
2015-03-27,SPY,171.61,172.3,171.42,172.12,118939000
2015-03-30,SPY,173.16,174.52,173.14,174.22,96180400
2015-03-31,SPY,173.38,174.09,172.63,172.69,126768700
2015-04-01,SPY,172.66,172.68,171.08,172.08,137303600
2015-04-02,SPY,172.01,173.15,171.83,172.7,86900900
2015-04-06,SPY,171.81,174.39,171.68,173.87,114368200
2015-04-07,SPY,173.9,174.65,173.38,173.41,81236300
2015-04-08,SPY,173.63,174.43,173.24,173.99,89351900
2015-04-09,SPY,173.82,174.99,173.33,174.76,85548900
2015-04-10,SPY,175.01,175.75,174.81,175.71,72722900
2015-04-13,SPY,175.57,176.21,174.87,174.92,74436600
2015-04-14,SPY,174.71,175.43,174.09,175.25,75099900
2015-04-15,SPY,175.72,176.55,175.64,176.04,99529300
2015-04-16,SPY,175.71,176.5,175.5,175.99,68934900
2015-04-17,SPY,174.8,175.04,173.18,173.97,191113200
2015-04-20,SPY,174.9,175.89,174.82,175.56,92189500
2015-04-21,SPY,176.25,176.4,175.05,175.35,72559800
2015-04-22,SPY,175.69,176.39,174.76,176.21,78264600
2015-04-23,SPY,175.81,177.3,175.69,176.65,102585900
2015-04-24,SPY,177.07,177.33,176.61,177.06,61327400
2015-04-27,SPY,177.63,177.75,176.13,176.32,79358100
2015-04-28,SPY,176.3,176.94,175.12,176.89,86863500
2015-04-29,SPY,175.99,176.76,175.35,176.16,125684900
2015-04-30,SPY,175.58,175.97,173.69,174.39,161304900
2015-05-01,SPY,175.18,176.32,175.08,176.28,103399700
2015-05-04,SPY,176.7,177.37,176.6,176.78,70927200
2015-05-05,SPY,176.54,176.9,174.62,174.76,113326200
2015-05-06,SPY,175.31,175.62,172.97,174.04,135060200
2015-05-07,SPY,173.95,175.17,173.61,174.74,88244900
2015-05-08,SPY,176.42,177.24,176.34,177.04,155877300
2015-05-11,SPY,176.99,177.26,176.11,176.19,75708100
2015-05-12,SPY,175.35,176.2,174.52,175.66,119727600
2015-05-13,SPY,176.08,176.7,175.47,175.7,94667900
2015-05-14,SPY,176.72,177.62,176.44,177.53,95934000
2015-05-15,SPY,177.72,177.86,177.23,177.72,76510100
2015-05-18,SPY,177.55,178.52,177.48,178.27,74549700
2015-05-19,SPY,178.4,178.67,177.94,178.22,72114600
2015-05-20,SPY,178.32,178.84,177.77,178.09,76857500
