date,symbol,open,high,low,close,volume,change,changePercent,vwap
2015-01-02,^VIX,17.76,20.14,17.05,17.79,0,0.03,0.16892,18.185
2015-01-05,^VIX,19.19,21.29,19.19,19.92,0,0.73,3.8,19.8975
2015-01-06,^VIX,20.33,22.9,19.52,21.12,0,0.79,3.89,20.9675
2015-01-07,^VIX,20.15,20.72,19.04,19.31,0,-0.84,-4.17,19.805
2015-01-08,^VIX,17.93,18.09,16.99,17.01,0,-0.92,-5.13,17.505
2015-01-09,^VIX,16.44,18.42,16.44,17.55,0,1.11,6.75,17.2125
2015-01-12,^VIX,18.02,20.44,18.02,19.6,0,1.58,8.77,19.02
2015-01-13,^VIX,18.21,21.58,17.65,20.56,0,2.35,12.9,19.5
2015-01-14,^VIX,22.87,23.34,21.32,21.48,0,-1.39,-6.08,22.2525
2015-01-15,^VIX,21.23,23.31,20.86,22.39,0,1.16,5.46,21.9475
2015-01-16,^VIX,22.8,23.43,20.95,20.95,0,-1.85,-8.11,22.0325
2015-01-20,^VIX,20.07,21.37,19.58,19.89,0,-0.18,-0.89686,20.2275
2015-01-21,^VIX,20.92,21.28,18.64,18.85,0,-2.07,-9.89,19.9225
2015-01-22,^VIX,17.98,19.23,16.07,16.4,0,-1.58,-8.79,17.42
2015-01-23,^VIX,16.79,17.09,15.81,16.66,0,-0.13,-0.77427,16.5875
2015-01-26,^VIX,16.96,17.43,15.52,15.52,0,-1.44,-8.49,16.3575
2015-01-27,^VIX,17.6,18.41,16.67,17.22,0,-0.38,-2.16,17.475
2015-01-28,^VIX,16.97,20.44,16.92,20.44,0,3.47,20.45,18.6925
2015-01-29,^VIX,20.46,21.56,18.66,18.76,0,-1.7,-8.31,19.86
2015-01-30,^VIX,20.23,22.18,19.24,20.97,0,0.74,3.66,20.655
2015-02-02,^VIX,20.89,22.81,19.35,19.43,0,-1.46,-6.99,20.62
2015-02-03,^VIX,18.41,18.89,17.2,17.33,0,-1.08,-5.87,17.9575
2015-02-04,^VIX,17.82,18.38,16.82,18.33,0,0.51,2.86,17.8375
2015-02-05,^VIX,17.29,17.43,16.67,16.85,0,-0.44,-2.54,17.06
2015-02-06,^VIX,16.29,18.74,16.06,17.29,0,1.0,6.14,17.095
2015-02-09,^VIX,19.16,19.28,18.21,18.55,0,-0.61,-3.18,18.8
2015-02-10,^VIX,17.72,18.36,16.97,17.23,0,-0.49,-2.77,17.57
2015-02-11,^VIX,17.43,17.81,16.82,16.96,0,-0.47,-2.7,17.255
2015-02-12,^VIX,16.39,16.47,15.28,15.34,0,-1.05,-6.41,15.87
2015-02-13,^VIX,15.11,15.64,14.69,14.69,0,-0.42,-2.78,15.0325
2015-02-17,^VIX,15.86,16.33,15.53,15.8,0,-0.06,-0.37831,15.88
2015-02-18,^VIX,16.74,16.74,15.44,15.45,0,-1.29,-7.71,16.0925
2015-02-19,^VIX,16.11,16.22,15.1,15.29,0,-0.82,-5.09,15.68
2015-02-20,^VIX,15.73,16.29,14.27,14.3,0,-1.43,-9.09,15.1475
2015-02-23,^VIX,15.05,15.48,14.49,14.56,0,-0.49,-3.26,14.895
2015-02-24,^VIX,14.5,14.63,13.53,13.69,0,-0.81,-5.59,14.0875
2015-02-25,^VIX,13.64,14.06,12.86,13.84,0,0.2,1.47,13.6
2015-02-26,^VIX,13.55,14.57,13.55,13.91,0,0.36,2.66,13.895
2015-02-27,^VIX,14.07,14.17,13.29,13.34,0,-0.73,-5.19,13.7175
2015-03-02,^VIX,13.9,13.9,12.87,13.04,0,-0.86,-6.19,13.4275
2015-03-03,^VIX,13.35,14.69,13.25,13.86,0,0.51,3.82,13.7875
2015-03-04,^VIX,14.31,15.33,14.13,14.23,0,-0.08,-0.55905,14.5
2015-03-05,^VIX,14.01,14.58,13.88,14.04,0,0.03,0.21413,14.1275
2015-03-06,^VIX,14.61,15.83,14.18,15.2,0,0.59,4.04,14.955
2015-03-09,^VIX,15.72,15.76,14.71,15.06,0,-0.66,-4.2,15.3125
2015-03-10,^VIX,16.47,16.91,16.03,16.69,0,0.22,1.34,16.525
2015-03-11,^VIX,16.44,17.19,16.29,16.87,0,0.43,2.62,16.6975
2015-03-12,^VIX,16.45,16.45,15.3,15.42,0,-1.03,-6.26,15.905
2015-03-13,^VIX,15.47,16.74,15.32,16.0,0,0.53,3.43,15.8825
2015-03-16,^VIX,15.78,15.89,15.36,15.61,0,-0.17,-1.08,15.66
2015-03-17,^VIX,16.31,16.37,15.66,15.66,0,-0.65,-3.99,16.0
2015-03-18,^VIX,14.6,16.29,13.38,13.97,0,-0.63,-4.32,14.56
2015-03-19,^VIX,14.68,14.97,13.84,14.07,0,-0.61,-4.16,14.39
2015-03-20,^VIX,13.52,13.53,12.54,13.02,0,-0.5,-3.7,13.1525
2015-03-23,^VIX,13.52,13.53,12.89,13.41,0,-0.11,-0.81361,13.3375
2015-03-24,^VIX,13.36,13.68,12.59,13.62,0,0.26,1.95,13.3125
2015-03-25,^VIX,13.26,15.55,13.2,15.44,0,2.18,16.44,14.3625
2015-03-26,^VIX,16.64,17.19,15.23,15.8,0,-0.84,-5.05,16.215
2015-03-27,^VIX,15.73,15.83,14.19,15.07,0,-0.66,-4.2,15.205
2015-03-30,^VIX,14.76,14.76,14.08,14.51,0,-0.25,-1.69,14.5275
2015-03-31,^VIX,14.97,15.74,14.33,15.29,0,0.32,2.14,15.0825
2015-04-01,^VIX,15.32,16.66,15.08,15.11,0,-0.21,-1.37,15.5425
2015-04-02,^VIX,15.3,15.51,14.27,14.67,0,-0.63,-4.12,14.9375
2015-04-06,^VIX,15.75,15.76,14.04,14.74,0,-1.01,-6.41,15.0725
